                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    9300                                     1769                  1.5000000000000000E+001                  2.0000000000000000E-002                  1.7371933515002500E+007                  3.9359544836579036E-001                  6.6660969851964237E+003                  2.2821698030138978E+004                  1.1326191031409978E+002                  1.6292280862247974E+001                  0.0000000000000000E+000                  1.0000019426700085E-099                  3.0347631822507762E-018                  4.6990086033347156E-001                  1.3904983966021415E-040                  5.0570106880021759E-001                  2.0319423671409657E-002                  1.0315494463935553E+000                 -4.8633288383580648E-006                  5.6579826663882281E-041                  5.0346167883317738E-041                  5.7529190191720710E-002                  4.5735196305535203E-001                  6.3881983697029006E-004                  4.9162896666312250E-001                  2.0189454838678345E-002                  1.0315494463935553E+000                  9.6880960421605022E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1877850498429138E+007                  9.6945838648161970E+000                  4.5200381015963928E+005                  1.8187296294926928E+004                  1.0124439437553611E-022                  1.1980837651600263E+004                  1.5289950006704168E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  5.4821652909304288E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240917"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.0315494463935553E+000                  2.0540838823114860E+000                  3.8238716280249920E+000                 -8.2604279839100450E+000                  2.8779392829747246E+000                  3.0606656536895497E-050                  9.8058591694556252E-001                  1.9414083054437481E-002                  2.5693685785509238E-145                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.0315494463930912E+000                  2.0540838822996084E+000                  3.8238716284770859E+000                 -8.2604279807471261E+000                  2.8779392865795437E+000                  3.0606656536895506E-050                  9.8058591694556252E-001                  1.9414083054437481E-002                  2.5693685972691412E-145                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.0315494463913248E+000                  2.0540838822544178E+000                  3.8238716298720488E+000                 -8.2604279709877293E+000                  2.8779392977024427E+000                  3.0606656536895506E-050                  9.8058591694556252E-001                  1.9414083054437481E-002                  2.5693686550254258E-145                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.0315494463862089E+000                  2.0540838821235239E+000                  3.8238716339738432E+000                 -8.2604279422908817E+000                  2.8779393304085819E+000                  3.0606656536895502E-050                  9.8058591694556252E-001                  1.9414083054437481E-002                  2.5693688248538883E-145                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.0315494463710881E+000                  2.0540838817366556E+000                  3.8238716479595216E+000                 -8.2604278444447452E+000                  2.8779394419249891E+000                  3.0606656536895497E-050                  9.8058591694556263E-001                  1.9414083054437370E-002                  2.5693694039091847E-145                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.0315494463172090E+000                  2.0540838803581378E+000                  3.8238716698012003E+000                 -8.2604276916367443E+000                  2.8779396160820885E+000                  3.0606656536895506E-050                  9.8058591694556252E-001                  1.9414083054437481E-002                  2.5693703082301102E-145                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.0315494462633295E+000                  2.0540838789796170E+000                  3.8238717036395951E+000                 -8.2604274548978278E+000                  2.8779398858962706E+000                  3.0606656536895506E-050                  9.8058591694556252E-001                  1.9414083054437481E-002                  2.5693717092565609E-145                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.0315494461502630E+000                  2.0540838760867768E+000                  3.8238717653781316E+000                 -8.2604270229652759E+000                  2.8779403781750221E+000                  3.0606656536895506E-050                  9.8058591694556252E-001                  1.9414083054437481E-002                  2.5693742654454795E-145                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.0315494459587347E+000                  2.0540838711864748E+000                  3.8238718787155133E+000                 -8.2604262300400340E+000                  2.8779412818816557E+000                  3.0606656536895506E-050                  9.8058591694556252E-001                  1.9414083054437481E-002                  2.5693789580058620E-145                  0.0000000000000000E+000                  0.0000000000000000E+000 
