                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     750                                     1015                  6.0000000000000000E+001                  2.0000000000000000E-002                  3.3213581060867389E+006                  3.1335556058569699E+002                  2.9503732420035431E+004                  8.7358158992382104E+005                  3.5772638692750263E+001                 -7.3649831713124509E+000                  1.3642752181672566E-001                  1.1190418318929962E-010                  8.4417131734358275E-001                  2.1929704591947986E-004                  1.2733252579708684E-002                  2.8636484902761704E-004                  2.0850244238753853E-003                  4.5681664753211855E+001                 -7.9063577368516131E-007                  8.5892996260235552E+000                  1.9605452451409067E-006                  3.6204704268676160E+001                  9.6706787562687267E-003                  5.7281520693241517E-001                  2.3671344815920512E-002                  9.5247386733734105E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1681997798102396E+005                  1.5725711489138409E+003                  5.2292384913005587E+005                  8.7418781510439143E+005                  8.7418781510439131E+005                  3.1180479773238894E-022                  5.9477195849617790E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.0481409056864288E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240919"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                  eps_nuc                                       pp                                      cno                                tri_alpha 
                                       1                  4.5681664753211855E+001                  1.5535509761409971E+000                  4.4698987974465059E+000                 -1.0300561491785224E+001                  3.3204939068844741E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  6.2238759307928797E-030                  6.2238759307928797E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  4.5681664753175312E+001                  1.5535477210757160E+000                  4.4699542630996145E+000                 -1.0300182303030462E+001                  3.3207348612725962E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  6.2293124959778329E-030                  6.2293124959778336E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  4.5681664753119016E+001                  1.5535427113926572E+000                  4.4700666781738718E+000                 -1.0299416569211850E+001                  3.3212230066166466E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  6.2403055784942118E-030                  6.2403055784942118E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  4.5681664752987082E+001                  1.5535309899545491E+000                  4.4702808351329590E+000                 -1.0297967125282002E+001                  3.3221522589665353E+000                  6.4460335314802031E-001                  3.3544517025500714E-001                  1.9951476596972606E-002                  6.2611673327358080E-030                  6.2611673327358073E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  4.5681664752760149E+001                  1.5535108940468447E+000                  4.4706828615273091E+000                 -1.0295280491952925E+001                  3.3238941199348973E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  6.3000204933831403E-030                  6.3000204933831403E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  4.5681664752312457E+001                  1.5534714838749948E+000                  4.4715650804026721E+000                 -1.0289542391626457E+001                  3.3277045234792166E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  6.3838121871129659E-030                  6.3838121871129659E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  4.5681664751275449E+001                  1.5533813557050249E+000                  4.4732803869794306E+000                 -1.0278931966842652E+001                  3.3350712616109410E+000                  6.4460335314802053E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  6.5416996301834584E-030                  6.5416996301834584E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  4.5681664749407247E+001                  1.5532227700532415E+000                  4.4758681162488472E+000                 -1.0264106750595531E+001                  3.3460925176868872E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  6.7688660300275043E-030                  6.7688660300275043E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  4.5681664746842422E+001                  1.5530120889586949E+000                  4.4790392455158408E+000                 -1.0247630912728678E+001                  3.3594623262236185E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  7.0305916377727352E-030                  7.0305916377727352E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  4.5681664743887076E+001                  1.5527780066339132E+000                  4.4827024641789404E+000                 -1.0230695868645476E+001                  3.3747315101190103E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  7.3101626450449096E-030                  7.3101626450449096E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      11                  4.5681664740340665E+001                  1.5525073791668891E+000                  4.4868220136391894E+000                 -1.0213827711781567E+001                  3.3917153610382340E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  7.5996802646099964E-030                  7.5996802646099964E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      12                  4.5681664736400194E+001                  1.5522175768576179E+000                  4.4906236749905943E+000                 -1.0199773231908472E+001                  3.4072555665837343E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  7.8496430120056855E-030                  7.8496430120056855E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      13                  4.5681664733247828E+001                  1.5519927183266475E+000                  4.4948962740566998E+000                 -1.0186262886383089E+001                  3.4245119567749853E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  8.0976752304557702E-030                  8.0976752304557702E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      14                  4.5681664728237813E+001                  1.5516456149123112E+000                  4.4988593955129952E+000                 -1.0174108063944773E+001                  3.4404845259222676E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  8.3275120770279043E-030                  8.3275120770279029E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  4.5681664725423197E+001                  1.5514556428457806E+000                  4.5023456019102115E+000                 -1.0164993634308356E+001                  3.4543871951921927E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  8.5041276838576433E-030                  8.5041276838576433E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      16                  4.5681664721201273E+001                  1.5511761499730268E+000                  4.5057337483471782E+000                 -1.0156190569121867E+001                  3.4678927703743918E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  8.6782649881090164E-030                  8.6782649881090164E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      17                  4.5681664718386656E+001                  1.5509932683726142E+000                  4.5083886018552937E+000                 -1.0149871981125703E+001                  3.4784202626433234E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  8.8054497992668099E-030                  8.8054497992668099E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      18                  4.5681664715572040E+001                  1.5508128019337792E+000                  4.5116388400533545E+000                 -1.0142733393650865E+001                  3.4912516089853289E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  8.9513840472049725E-030                  8.9513840472049725E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      19                  4.5681664711350116E+001                  1.5505461038879831E+000                  4.5153770179968413E+000                 -1.0134542358733059E+001                  3.5060050472265325E+000                  6.4460335314802042E-001                  3.3544517025500714E-001                  1.9951476596972384E-002                  9.1218156655867663E-030                  9.1218156655867663E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
